Year,State_name,State_code,District_name,District_code,villages_surveyed,tot_pop,pop_male,pop_female,tot_hh,prim_school,middle_school,high_school,high_second_school,degree_clg,public_library,indoor_sports,outdoor_sports,vocational,MAP_KEY
2019,HIMACHAL PRADESH ,2,SOLAN ,25,2471,534156,272557,261599,117828,0.272359369,0.114528531,0.072440308,0.055847835,0.009712667,0.006879806,0.017401862,0.057466613,0.012140834,SOLAN
2019,HIMACHAL PRADESH ,2,UNA ,26,842,575442,295281,280161,130982,0.5,0.270783848,0.212589074,0.180522565,0.020190024,0.028503563,0.013064133,0.165083135,0.062945368,UNA
2019,PUNJAB ,3,AMRITSAR ,27,933,1438423,759828,678595,263480,0.74812433,0.374062165,0.211146838,0.106109325,0.020364416,0.018220793,0.07073955,0.320471597,0.041800643,AMRITSAR
2019,PUNJAB ,3,BATHINDA ,28,319,873035,458929,414106,162712,0.931034483,0.686520376,0.492163009,0.322884013,0.040752351,0.068965517,0.10031348,0.460815047,0.040752351,BATHINDA
2019,PUNJAB ,3,FARIDKOT ,29,264,542203,289278,252925,100776,0.810606061,0.556818182,0.382575758,0.21969697,0.041666667,0.053030303,0.064393939,0.393939394,0.015151515,FARIDKOT
2019,PUNJAB ,3,FATEHGARH SAHIB ,30,447,428926,227962,200964,81788,0.888143177,0.384787472,0.154362416,0.096196868,0.013422819,0.015659955,0.165548098,0.346756152,0.029082774,FATEHGARH SAHIB
2019,PUNJAB ,3,FIROZEPUR ,31,882,941069,498553,442516,187129,0.666666667,0.250566893,0.14739229,0.116780045,0.009070295,0.009070295,0.058956916,0.138321995,0.034013605,FIROZPUR
2019,PUNJAB ,3,GURDASPUR ,32,1390,1487169,779003,708166,271703,0.748201439,0.276258993,0.126618705,0.074820144,0.007194245,0.004316547,0.046043165,0.295683453,0.025899281,GURDASPUR
2019,PUNJAB ,3,HOSHIARPUR ,33,1570,1414669,734373,680296,288771,0.785350318,0.277707006,0.165605096,0.098089172,0.011464968,0.010191083,0.084713376,0.289808917,0.013375796,HOSHIARPUR
2019,PUNJAB ,3,JALANDHAR ,34,1003,1175930,608388,567542,244441,0.806580259,0.299102692,0.208374875,0.16550349,0.03888335,0.050847458,0.09670987,0.162512463,0.030907278,JALANDHAR
2019,PUNJAB ,3,KAPURTHALA ,35,818,583294,305144,278150,115099,0.580684597,0.218826406,0.130806846,0.074572127,0.015892421,0.02200489,0.083129584,0.111246944,0.014669927,KAPURTHALA
2019,PUNJAB ,3,LUDHIANA ,36,1015,1778047,940093,837954,368939,0.864039409,0.620689655,0.536945813,0.457142857,0.125123153,0.081773399,0.009852217,0.228571429,0.134975369,LUDHIANA
2019,PUNJAB ,3,MANSA ,37,249,619237,328785,290452,119846,0.987951807,0.634538153,0.393574297,0.228915663,0.048192771,0.112449799,0.052208835,0.742971888,0.048192771,MANSA
2019,PUNJAB ,3,MOGA ,38,371,803351,424174,379177,155376,0.795148248,0.423180593,0.336927224,0.223719677,0.026954178,0.037735849,0.099730458,0.285714286,0.021563342,MOGA
2019,PUNJAB ,3,SRI MUKTSAR SAHIB ,39,274,840643,445750,394893,148434,0.894160584,0.682481752,0.558394161,0.328467153,0.04379562,0.03649635,0.233576642,0.222627737,0.054744526,SRI MUKTSAR SAHIB
2019,PUNJAB ,3,Shahid Bhagat Singh Nagar ,40,520,551330,284888,266442,112575,0.796153846,0.363461538,0.217307692,0.140384615,0.017307692,0.084615385,0.213461538,0.405769231,0.036538462,SHAHID BHAGAT SINGH NAGAR
