Year,State_name,State_code,District_name,District_code,villages_surveyed,tot_pop,pop_male,pop_female,tot_hh,all_weather_road,cc_road_full,pub_trans_bus,pub_trans_van,pub_trans_auto,railway,csc_panchayat,csc_seperate,elec_domes_12hrs,elec_msme,pds,mandi,reg_mkt,weekly_haat,tap_100,clean_energy_hhs,solar_wind_elect,pucca_hhs,panch_bhawan,pib_av_upd,pcomm_pasture,MAP_KEY
2019,UTTAR PRADESH ,9,LALITPUR ,161,752,1329328,706602,622726,280580,0.759308511,0.140957447,0.272606383,0.02393617,0.414893617,0.021276596,0.033244681,0.105053191,0.440159574,0.126329787,0.574468085,0.005319149,0.013297872,0.134308511,0.030585106,163.9388298,0.053191489,0.818793214,0.4375,0.291223404,0.134308511,LALITPUR
2019,UTTAR PRADESH ,9,LUCKNOW ,162,804,1843961,978157,865804,341249,0.935323383,0.2960199,0.135572139,0.036069652,0.271144279,0.03358209,0.05721393,0.190298507,0.879353234,0.426616915,0.817164179,0.004975124,0.052238806,0.241293532,0.116915423,277.1791045,0.050995025,0.908770429,0.64800995,0.369402985,0.473880597,LUCKNOW
2019,UTTAR PRADESH ,9,HATHRAS ,163,665,1405393,762028,643365,245439,0.729323308,0.172932331,0.117293233,0.019548872,0.276691729,0.019548872,0.031578947,0.169924812,0.47518797,0.178947368,0.678195489,0.004511278,0.066165414,0.061654135,0.111278195,165.6300752,0.060150376,0.979827982,0.463157895,0.398496241,0.311278195,HATHRAS
2019,UTTAR PRADESH ,9,MAHARAJGANJ ,164,1259,2989934,1574295,1415639,512259,0.813343924,0.119142176,0.146942017,0.020651311,0.3375695,0.026211279,0.036536934,0.194598888,0.397934869,0.136616362,0.724384432,0.011914218,0.038125496,0.239078634,0.12867355,206.3367752,0.068308181,0.853607257,0.559968229,0.160444797,0.123907863,MAHARAJGANJ
2019,UTTAR PRADESH ,9,MAHOBA ,165,436,872507,467139,405368,165059,0.915137615,0.110091743,0.112385321,0.013761468,0.724770642,0.018348624,0.029816514,0.082568807,0.610091743,0.231651376,0.78440367,0.006880734,0.016055046,0.197247706,0.041284404,150.0114679,0.052752294,0.769585421,0.577981651,0.527522936,0.293577982,MAHOBA
2019,UTTAR PRADESH ,9,MAINPURI ,166,828,1878586,1011133,867453,323638,0.914251208,0.144927536,0.169082126,0.039855072,0.210144928,0.018115942,0.053140097,0.173913043,0.300724638,0.240338164,0.710144928,0.008454106,0.027777778,0.100241546,0.080917874,209.205314,0.054347826,0.894752779,0.413043478,0.185990338,0.256038647,MAINPURI
2019,UTTAR PRADESH ,9,MATHURA ,167,835,2014905,1090463,924442,348965,0.813173653,0.19760479,0.185628743,0.019161677,0.31497006,0.021556886,0.031137725,0.110179641,0.811976048,0.238323353,0.676646707,0.011976048,0.058682635,0.135329341,0.238323353,269.6083832,0.039520958,0.980588311,0.34011976,0.48742515,0.25748503,MATHURA
2019,UTTAR PRADESH ,9,MAU ,168,1558,2156179,1113771,1042408,335581,0.759306804,0.118100128,0.096277279,0.035301669,0.440949936,0.011553273,0.029525032,0.080872914,0.373555841,0.171373556,0.522464698,0.008985879,0.083440308,0.09114249,0.064184852,95.74775353,0.032092426,0.790333779,0.298459564,0.356867779,0.089858793,MAU
2019,UTTAR PRADESH ,9,MEERUT ,169,645,1886582,1004358,882224,310452,0.894573643,0.286821705,0.293023256,0.035658915,0.381395349,0.010852713,0.031007752,0.333333333,0.663565891,0.265116279,0.795348837,0.007751938,0.063565891,0.158139535,0.179844961,358.7503876,0.04496124,0.992237125,0.556589147,0.480620155,0.158139535,MEERUT
2019,UTTAR PRADESH ,9,MIRZAPUR ,170,1942,2955681,1570027,1385654,491645,0.797631308,0.147270855,0.166323378,0.022657055,0.335221421,0.017507724,0.041194645,0.081874356,0.558187436,0.224510814,0.557672503,0.02523172,0.110710608,0.032955716,0.033985582,101.0983522,0.082904222,0.759147352,0.409371782,0.239443872,0.118434604,MIRZAPUR
2019,UTTAR PRADESH ,9,MORADABAD ,171,1132,2639780,1399324,1240456,427971,0.787985866,0.192579505,0.19434629,0.019434629,0.347173145,0.024734982,0.022968198,0.212014134,0.278268551,0.276501767,0.634275618,0.000883392,0.011484099,0.185512367,0.153710247,198.6174912,0.245583039,0.940750658,0.185512367,0.272968198,0.106007067,MORADABAD
2019,UTTAR PRADESH ,9,MUZAFFARNAGAR ,172,726,2557084,1346108,1210976,423558,0.807162534,0.367768595,0.329201102,0.037190083,0.333333333,0.011019284,0.045454545,0.298898072,0.651515152,0.279614325,0.699724518,0.005509642,0.067493113,0.181818182,0.179063361,283.6997245,0.041322314,0.985768183,0.611570248,0.385674931,0.104683196,MUZAFFARNAGAR
2019,UTTAR PRADESH ,9,PILIBHIT ,173,1485,2269791,1221665,1048126,401418,0.744781145,0.128619529,0.115151515,0.003367003,0.365656566,0.024915825,0.026936027,0.146801347,0.304377104,0.201346801,0.475420875,0.005387205,0.012794613,0.125925926,0.082154882,141.5447811,0.207407407,0.851967276,0.203367003,0.221548822,0.124579125,PILIBHIT
2019,UTTAR PRADESH ,9,PRATAPGARH ,174,2203,4014591,2087024,1927567,726791,0.694053563,0.073990014,0.161597821,0.016341353,0.287335452,0.013163867,0.034952338,0.143894689,0.443486155,0.170222424,0.5969133,0.006808897,0.065365411,0.241942805,0.060826146,140.7875624,0.046754426,0.782054263,0.427144803,0.147980027,0.182024512,PRATAPGARH
2019,UTTAR PRADESH ,9,RAE BARELI ,175,1569,3100637,1622374,1478263,582081,0.797323136,0.120458891,0.174633525,0.040790312,0.198852772,0.022307202,0.030592734,0.128744423,0.355640535,0.180369662,0.678138942,0.021032505,0.028680688,0.345442957,0.096876992,185.4257489,0.06054812,0.813623877,0.575525813,0.305927342,0.42319949,RAEBARELI
2019,UTTAR PRADESH ,9,RAMPUR ,176,1174,2047805,1083740,964065,354758,0.879897785,0.178875639,0.149914821,0.022998296,0.451448041,0.009369676,0.00681431,0.220613288,0.511925043,0.332197615,0.740204429,0.007666099,0.025553663,0.154173765,0.079216354,168.1243612,0.111584327,0.917273183,0.168654174,0.518739353,0.136286201,RAMPUR
2019,UTTAR PRADESH ,9,SAHARANPUR ,177,1527,2837146,1511067,1326079,510307,0.781925344,0.220039293,0.220694172,0.01702685,0.191224623,0.015062213,0.025540275,0.215455141,0.561886051,0.229207597,0.654878847,0.007858546,0.026850033,0.070072037,0.174197773,218.8605108,0.094302554,0.951689865,0.350360183,0.34643091,0.105435494,SAHARANPUR
2019,UTTAR PRADESH ,9,SANT KABEER NAGAR ,178,1746,2083563,1088333,995230,354776,0.741695304,0.122565865,0.078465063,0.024627721,0.278923253,0.004581901,0.016036655,0.081901489,0.369415808,0.08419244,0.51489118,0.009163803,0.0395189,0.129438717,0.085337915,94.93928981,0.04467354,0.805353237,0.197594502,0.217067583,0.092210767,SANT KABIR NAGAR
2019,UTTAR PRADESH ,9,BHADOHI ,179,1090,1935943,1018293,917650,305800,0.821100917,0.129357798,0.077981651,0.020183486,0.311926606,0.019266055,0.024770642,0.133027523,0.406422018,0.2,0.60733945,0.002752294,0.135779817,0.025688073,0.036697248,123.0605505,0.09266055,0.806693918,0.341284404,0.195412844,0.140366972,BHADOHI
2019,UTTAR PRADESH ,9,SHAHJAHANPUR ,180,2430,3080594,1679654,1400940,570542,0.772839506,0.079012346,0.116049383,0.018518519,0.251028807,0.010699588,0.005761317,0.106995885,0.263374486,0.165843621,0.58436214,0.003292181,0.016049383,0.10617284,0.065843621,127.263786,0.051851852,0.851078448,0.11399177,0.3,0.14691358,SHAHJAHANPUR
2019,UTTAR PRADESH ,9,SHRAVASTI ,181,539,1371027,732849,638178,239289,0.844155844,0.174397032,0.220779221,0.044526902,0.207792208,0.003710575,0.06122449,0.33580705,0.491651206,0.300556586,0.799628942,0,0.081632653,0.126159555,0.141001855,192.6493506,0.25974026,0.818562491,0.651205937,0.365491651,0.256029685,SHRAVASTI
2019,UTTAR PRADESH ,9,SIDDHARTH NAGAR ,182,2534,3042816,1602941,1439875,456624,0.703235991,0.072217837,0.082872928,0.016574586,0.339384373,0.008681926,0.013417522,0.08445146,0.247040253,0.097868982,0.513812155,0.004735596,0.024467245,0.18863457,0.041831097,98.75927388,0.044198895,0.909220716,0.208760852,0.097868982,0.179558011,SIDDHARTHNAGAR
2019,UTTAR PRADESH ,9,SITAPUR ,183,2333,4969181,2668564,2300617,909978,0.856836691,0.111873125,0.120874411,0.022288898,0.21903129,0.017145306,0.023146164,0.070724389,0.321903129,0.196742392,0.720531505,0.007715388,0.023574796,0.250750107,0.063866267,192.2876125,0.168881269,0.762064577,0.386626661,0.194599228,0.242177454,SITAPUR
2019,UTTAR PRADESH ,9,SONBHADRA ,184,1409,2147748,1129908,1017840,404904,0.82753726,0.052519517,0.182398864,0.022001419,0.442867282,0.01987225,0.014194464,0.093683463,0.349183818,0.206529454,0.503193754,0.000709723,0.060326473,0.069552874,0.006387509,112.292406,0.099361249,0.496468299,0.312987935,0.405961675,0.078779276,SONBHADRA
2019,UTTAR PRADESH ,9,SULTANPUR ,185,1748,2795098,1444523,1350575,468462,0.738558352,0.074942792,0.191647597,0.047482838,0.23798627,0.018878719,0.024599542,0.091533181,0.506864989,0.16590389,0.667048055,0.01201373,0.125286041,0.135583524,0.05778032,113.2728833,0.110411899,0.718399785,0.387299771,0.21624714,0.270022883,SULTANPUR
2019,UTTAR PRADESH ,9,UNNAO ,186,1794,3228605,1741440,1487165,603756,0.823299889,0.161092531,0.133779264,0.016164994,0.225195095,0.028428094,0.039018952,0.098662207,0.27090301,0.280379041,0.585284281,0.011705686,0.019509476,0.285953177,0.148272018,159.4336678,0.251393534,0.890568375,0.445373467,0.214046823,0.243589744,UNNAO
2019,UTTAR PRADESH ,9,VARANASI ,187,1309,3291600,1732854,1558746,532304,0.839572193,0.114591291,0.258212376,0.01986249,0.247517189,0.022154316,0.045836516,0.129106188,0.871657754,0.329258976,0.686783804,0.0236822,0.248281131,0.012223071,0.029793736,204.6883117,0.080213904,0.891312107,0.431627196,0.311688312,0.067226891,VARANASI
2019,UTTAR PRADESH ,9,Kasganj ,633,654,1316081,711018,605063,236188,0.873088685,0.221712538,0.171253823,0.013761468,0.5,0.056574924,0.033639144,0.166666667,0.20795107,0.357798165,0.685015291,0.012232416,0.056574924,0.142201835,0.160550459,154.0428135,0.20030581,0.953401528,0.4617737,0.186544343,0.157492355,KASGANJ
2019,UTTAR PRADESH ,9,Amethi ,640,989,2119472,1115946,1003526,371189,0.783619818,0.121334681,0.134479272,0.045500506,0.291203236,0.03033367,0.05156724,0.148634985,0.376137513,0.168857432,0.659251769,0.007077856,0.058645096,0.326592518,0.067745197,179.5743175,0.101112235,0.766016773,0.515672396,0.291203236,0.366026289,AMETHI
2019,UTTAR PRADESH ,9,SAMBHAL ,659,997,2170779,1160537,1010242,360259,0.731193581,0.140421264,0.139418255,0.006018054,0.427281846,0.014042126,0.030090271,0.1444333,0.285857573,0.230692076,0.580742227,0.01003009,0.014042126,0.177532598,0.121364092,141.554664,0.121364092,0.930572172,0.235707121,0.328986961,0.184553661,SAMBHAL
