Year,State_name,District_name,State_code,District_code,villages_surveyed,tot_pop,pop_male,pop_female,tot_hh,MAP_KEY,Banking,Education,Health,Infrastructure,MEGA
2019,TAMIL NADU,TUTICORIN,33,594,476,1081179,535167,546012,379589,THOOTHUKUDI,0.5,0.67,0.88,0.38,0.6075
2019,GOA,SOUTH GOA,30,552,188,595897,302286,293611,160760,SOUTH GOA,0.38,0.56,0.88,0.52,0.585
2019,TELANGANA,PEDDAPALLI,36,682,303,552633,277401,275232,151026,PEDDAPALLI,0.62,0.67,1,0.43,0.68
2019,MIZORAM,AIZAWL,15,261,68,109994,54620,55374,24732,AIZAWL,0.62,0.44,0.88,0.62,0.64
2019,MIZORAM,CHAMPHAI,15,262,60,94833,47554,47279,18311,CHAMPHAI,0.62,0.44,0.88,0.62,0.64
2019,ASSAM,KAMRUP METRO,18,618,216,270297,139127,131170,63225,KAMRUP METROPOLITAN,0.75,0.78,1,0.76,0.8225
2019,ARUNACHAL PRADESH,LOWER SUBANSIRI,12,236,72,15946,7930,8016,2395,LOWER SUBANSIRI,0.88,0.89,1,0.86,0.9075
2019,ARUNACHAL PRADESH,UPPER SIANG,12,240,77,25454,13280,12174,3967,UPPER SIANG,0.88,0.89,0.88,0.81,0.865
2019,TELANGANA,JOGULAMBA GADWAL,36,695,290,498967,251740,247227,119940,JOGULAMBA GADWAL,0.62,0.78,1,0.48,0.72
2019,TAMIL NADU,RAMANATHAPURAM,33,583,512,1349520,671656,677864,408345,RAMANATHAPURAM,0.5,0.67,1,0.38,0.6375
2019,GUJARAT,AHMADABAD,24,438,494,1197994,628768,569226,282502,AHMEDABAD,0.25,0.44,0.62,0.29,0.4
2019,WEST BENGAL,HOWRAH,19,313,816,3916298,2049096,1867202,841091,HOWRAH,0.5,0.67,0.88,0.57,0.655
2019,ASSAM,NALBARI,18,298,465,865049,447188,417861,175066,NALBARI,0.62,0.78,1,0.71,0.7775
2019,NAGALAND,KIPHIRE,13,614,91,91171,47083,44088,18133,KIPHIRE,0.75,0.67,1,0.76,0.795
2019,GUJARAT,ARVALLI,24,672,682,1040050,541148,498902,261107,ARAVALLI,0.5,0.78,0.88,0.29,0.6125
2019,TELANGANA,WARANGAL RURAL,36,522,419,648269,325840,322429,181760,WARANGAL (RURAL),0.62,0.67,1,0.48,0.6925
2019,BIHAR,SHEOHAR,10,220,193,755348,402972,352376,174282,SHEOHAR,0.5,0.78,1,0.48,0.69
2019,MAHARASHTRA,LATUR,27,481,946,1933546,1014908,918638,382151,LATUR,0.62,0.67,1,0.48,0.6925
2019,MEGHALAYA,SOUTH WEST KHASI HILLS,17,658,285,124276,61026,63250,21736,SOUTH WEST KHASI HILLS,0.88,0.67,1,0.71,0.815
2019,ARUNACHAL PRADESH,LEPARADA,12,724,79,33584,16914,16670,5535,LEDA RADA,0.88,0.78,1,0.76,0.855
2019,GUJARAT,MAHESANA,24,451,664,1707063,887456,819607,411297,MEHSANA,0.38,0.44,0.62,0.29,0.4325
2019,JAMMU AND KASHMIR,SRINAGAR,1,13,25,63548,33089,30459,10570,SRINAGAR,0.62,0.67,0.88,0.62,0.6975
2019,WEST BENGAL,JALPAIGURI,19,314,452,2466475,1270610,1195865,508819,JALPAIGURI,0.5,0.67,0.88,0.62,0.6675
2019,TAMIL NADU,VIRUDHUNAGAR,33,597,722,1426916,708653,718263,514114,VIRUDHUNAGAR,0.62,0.67,1,0.43,0.68
2019,KARNATAKA,DAKSHINA KANNADA,29,534,373,1404828,701964,702864,338907,DAKSHINA KANNADA,0.38,0.33,0.88,0.43,0.505
2019,GUJARAT,DANG,24,444,310,292075,146510,145565,52283,DANG,0.88,0.89,1,0.62,0.8475
2019,NAGALAND,DIMAPUR,13,244,208,306073,154649,151424,68972,DIMAPUR,0.75,0.67,1,0.71,0.7825
2019,PUNJAB,FARIDKOT,3,29,264,542203,289278,252925,100776,FARIDKOT,0.75,0.56,1,0.57,0.72
2019,MANIPUR,IMPHAL EAST,14,255,212,428553,205632,222921,93488,IMPHAL EAST,0.75,0.78,1,0.71,0.81
2019,MAHARASHTRA,BHANDARA,27,471,873,1035634,527019,508615,288589,BHANDARA,0.62,0.78,1,0.48,0.72
2019,TELANGANA,Jagitial,36,681,402,787580,385837,401743,212097,JAGTIAL,0.5,0.67,1,0.48,0.6625
2019,MIZORAM,MAMIT,15,266,98,107612,54713,52899,21923,MAMIT,0.75,0.44,0.88,0.71,0.695
2019,PUNJAB,BATHINDA,3,28,319,873035,458929,414106,162712,BATHINDA,0.62,0.44,0.88,0.52,0.615
2019,MEGHALAYA,EAST JAINTIA HILLS,17,657,161,166298,80843,85455,27870,EAST JAINTIA HILLS,0.75,0.67,1,0.76,0.795
2019,ASSAM,HOJAI,18,709,399,921325,477589,443736,181199,HOJAI,0.75,0.78,1,0.76,0.8225
2019,GUJARAT,SURENDRANAGAR,24,460,563,1204555,628899,575656,261037,SURENDRANAGAR,0.38,0.44,0.5,0.29,0.4025
2019,NAGALAND,KOHIMA,13,245,96,193912,96584,97328,36458,KOHIMA,0.75,0.67,1,0.76,0.795
2019,PUNJAB,SANGRUR,3,43,592,1322606,711780,610826,244945,SANGRUR,0.38,0.56,0.88,0.48,0.575
2019,ASSAM,SIVASAGAR,18,300,534,693207,356938,336269,155925,SIVASAGAR,0.75,0.78,1,0.76,0.8225
2019,ASSAM,SOUTH SALMARA MANCACHAR,18,707,176,628317,331130,297187,117129,SOUTH SALMARA-MANKACHAR,0.88,0.78,1,0.71,0.8425
2019,TRIPURA,Unakoti,16,655,140,316162,159728,156434,73904,UNA,,,,,
2019,GUJARAT,AMRELI,24,439,623,1137634,579966,557668,258634,AMRELI,0.5,0.56,0.62,0.29,0.4925
2019,GUJARAT,BHAVNAGAR,24,443,695,1493752,767191,726561,280375,BHAVNAGAR,0.5,0.67,0.62,0.29,0.52
2019,MAHARASHTRA,SOLAPUR,27,496,1157,3062109,1608294,1453815,642757,SOLAPUR,0.5,0.56,1,0.48,0.635
2019,MADHYA PRADESH,MANDSAUR,23,416,914,1213213,627169,586044,282715,MANDSAUR,0.75,0.78,1,0.43,0.74
2019,TELANGANA,KARIMNAGAR,36,508,321,629488,315793,313695,174318,KARIMNAGAR,0.62,0.67,1,0.52,0.7025
2019,TELANGANA,MAHABUBNAGAR,36,512,521,724149,364943,359206,160567,MAHBUBNAGAR,0.75,0.89,1,0.52,0.79
2019,UTTAR PRADESH,HAPUR,9,661,349,1166410,627019,539391,193128,HAPUR,0.75,0.78,1,0.52,0.7625
2019,HARYANA,BHIWANI,6,59,370,1376902,726005,650897,269419,BHIWANI,0.62,0.44,0.88,0.48,0.605
