Year,State_name,State_code,District_name,District_code,villages_surveyed,tot_pop,pop_male,pop_female,tot_hh,chc,phc,subcentre,subcentre_l1km,veterinary,veterinary_l1km,closed_drain,pucca_slab_drain,MAP_KEY,prim_school,middle_school,high_school,high_second_school,degree_clg,public_library,indoor_sports,outdoor_sports,vocational,all_weather_road,cc_road_full,pub_trans_bus,pub_trans_van,pub_trans_auto,railway,csc_panchayat,csc_seperate,elec_domes_12hrs,elec_msme,pds,mandi,reg_mkt,weekly_haat,tap_100,clean_energy_hhs,solar_wind_elect,pucca_hhs,panch_bhawan,pib_av_upd,pcomm_pasture,bank,bank_dist_l1km,bc_w_internet,atm,internet_bb,tel_ll,tel_mob,po_sub_po
2019,HIMACHAL PRADESH,2,BILASPUR,15,1025,437403,222893,214510,106861,0.026341463,0.067317073,0.115121951,0.096585366,0.175609756,0.106341463,0.082926829,0.044878049,BILASPUR,0.514146341,0.226341463,0.16097561,0.12,0.008780488,0.011707317,0.015609756,0.074146341,0.017560976,0.649756098,0.193170732,0.564878049,0.213658537,0.019512195,0.004878049,0.043902439,0.142439024,0.87902439,0.264390244,0.404878049,0.010731707,0.065365854,0.006829268,0.625365854,77.20487805,0.049756098,0.938106512,0.326829268,0.40195122,0.306341463,0.085853659,0.08195122,0.227317073,0.060487805,0.533658537,0.00097561,0.535609756,0.163902439
2019,HIMACHAL PRADESH,2,CHAMBA,16,1491,630848,318072,312776,140833,0.027498323,0.079812207,0.114017438,0.027498323,0.213279678,0.029510396,0.036217304,0.023474178,CHAMBA,0.597585513,0.27297116,0.153588196,0.136150235,0.026156942,0.037558685,0.015425889,0.075117371,0.028169014,0.333333333,0.0657277,0.415828303,0.095908786,0.011401744,0.01676727,0.073105298,0.086519115,0.601609658,0.15694165,0.409121395,0.012072435,0.071093226,0.014755198,0.475519785,50.54124748,0.059691482,0.674011063,0.351441985,0.351441985,0.235412475,0.059691482,0.017437961,0.134808853,0.043594903,0.201207243,0.002682763,0.499664655,0.216633132
2019,HIMACHAL PRADESH,2,HAMIRPUR,17,1749,560516,281453,279063,134729,0.026300743,0.079473985,0.09834191,0.108633505,0.174957118,0.121783877,0.125214408,0.051457976,HAMIRPUR,0.29731275,0.169239565,0.108633505,0.077186964,0.017152659,0.022298456,0.02058319,0.09834191,0.036020583,0.775871927,0.296740995,0.652372784,0.210405946,0.00971984,0.012006861,0.062321326,0.12864494,0.878787879,0.242995998,0.404802744,0.010291595,0.097198399,0.004002287,0.734705546,55.8542024,0.135506003,0.818591395,0.319039451,0.324185249,0.175528874,0.103487707,0.101200686,0.275586049,0.070325901,0.585477416,0.005145798,0.388793596,0.176672384
2019,HIMACHAL PRADESH,2,KANGRA,18,3692,1748514,893114,855400,424290,0.032773564,0.087757313,0.117280607,0.092091008,0.206392199,0.088028169,0.043607801,0.031148429,KANGRA,0.433640303,0.196912243,0.137865655,0.114301192,0.020585049,0.010292524,0.015438787,0.101300108,0.031960997,0.756229686,0.191495125,0.616468039,0.24404117,0.021668472,0.021668472,0.054983749,0.174431203,0.895991333,0.200975081,0.444203684,0.015980498,0.13028169,0.01652221,0.72156013,82.72995666,0.047941495,0.791494025,0.382177681,0.426056338,0.234561213,0.085048754,0.059317443,0.216413868,0.057692308,0.507583965,0.015438787,0.55687974,0.224268689
2019,HIMACHAL PRADESH,2,KINNAUR,19,610,98754,50171,48583,26092,0.024590164,0.049180328,0.062295082,0.02295082,0.136065574,0.027868852,0.026229508,0.027868852,KINNAUR,0.247540984,0.1,0.083606557,0.07704918,0.009836066,0.008196721,0.004918033,0.090163934,0.003278689,0.213114754,0.040983607,0.240983607,0.054098361,0.001639344,0.001639344,0.032786885,0.049180328,0.304918033,0.070491803,0.149180328,0.0,0.054098361,0.009836066,0.186885246,30.13114754,0.063934426,0.781197302,0.157377049,0.216393443,0.326229508,0.047540984,0.02295082,0.086885246,0.037704918,0.178688525,0.003278689,0.350819672,0.160655738
2019,HIMACHAL PRADESH,2,KULLU,20,452,470110,238958,231152,118012,0.039823009,0.14159292,0.207964602,0.046460177,0.442477876,0.044247788,0.039823009,0.048672566,KULLU,0.723451327,0.42699115,0.298672566,0.225663717,0.022123894,0.008849558,0.015486726,0.234513274,0.03539823,0.705752212,0.161504425,0.665929204,0.154867257,0.030973451,0.008849558,0.10619469,0.190265487,0.902654867,0.241150442,0.752212389,0.019911504,0.181415929,0.008849558,0.64159292,206.1128319,0.099557522,0.730137613,0.621681416,0.672566372,0.42699115,0.181415929,0.039823009,0.307522124,0.14159292,0.561946903,0.011061947,0.681415929,0.402654867
2019,HIMACHAL PRADESH,2,LAHUL AND SPITI,21,361,39800,19821,19979,7437,0.024930748,0.074792244,0.110803324,0.055401662,0.163434903,0.038781163,0.016620499,0.019390582,LAHAUL AND SPITI,0.412742382,0.130193906,0.055401662,0.077562327,0.005540166,0.008310249,0.016620499,0.027700831,0.008310249,0.349030471,0.135734072,0.429362881,0.135734072,0.002770083,0.0,0.005540166,0.011080332,0.639889197,0.132963989,0.213296399,0.033240997,0.005540166,0.0,0.484764543,19.19944598,0.166204986,0.473712518,0.155124654,0.083102493,0.260387812,0.024930748,0.030470914,0.083102493,0.022160665,0.113573407,0.013850416,0.512465374,0.12465374
2019,HIMACHAL PRADESH,2,MANDI,22,2851,1110906,561319,549587,299805,0.021396001,0.072956857,0.099263416,0.044896528,0.171168011,0.043493511,0.055068397,0.021746756,MANDI,0.504384427,0.222378113,0.145212206,0.117151877,0.010522624,0.012977902,0.012977902,0.113644335,0.01613469,0.611364434,0.196071554,0.580848825,0.160645388,0.019291477,0.005261312,0.062083479,0.070150824,0.859698351,0.174675552,0.41108383,0.019291477,0.05787443,0.021396001,0.797264118,73.62258857,0.078218169,0.800810527,0.290775167,0.320589267,0.264117853,0.05191161,0.02806033,0.147316731,0.032269379,0.40512101,0.008418099,0.541213609,0.148719747
2019,HIMACHAL PRADESH,2,SHIMLA,23,3075,721165,366584,354581,171528,0.020487805,0.083577236,0.066341463,0.03902439,0.124227642,0.034796748,0.06796748,0.018211382,SHIMLA,0.429268293,0.18699187,0.117398374,0.096910569,0.010081301,0.008130081,0.008130081,0.105691057,0.020162602,0.528780488,0.126178862,0.574634146,0.118373984,0.006829268,0.003577236,0.052357724,0.061138211,0.680650407,0.156097561,0.257560976,0.003577236,0.054634146,0.024390244,0.496585366,40.80325203,0.056585366,0.772672683,0.281626016,0.261788618,0.227642276,0.058536585,0.02796748,0.107642276,0.041300813,0.277073171,0.006178862,0.637723577,0.153495935
2019,HIMACHAL PRADESH,2,SIRMAUR,24,983,551996,285357,266639,118205,0.03051882,0.088504578,0.11698881,0.026449644,0.216683622,0.039674466,0.037639878,0.032553408,SIRMAUR,0.689725331,0.358087487,0.225839268,0.166836216,0.022380468,0.014242116,0.022380468,0.128179044,0.03051882,0.714140387,0.114954222,0.637843337,0.16785351,0.023397762,0.003051882,0.062054934,0.130213632,0.839267548,0.19837233,0.428280773,0.03051882,0.039674466,0.019328586,0.422177009,76.84537131,0.03560529,0.842823908,0.327568667,0.281790437,0.292980671,0.069175992,0.019328586,0.16785351,0.05595117,0.345879959,0.00508647,0.789420142,0.202441506
2019,HIMACHAL PRADESH,2,SOLAN,25,2471,534156,272557,261599,117828,0.015783084,0.047753946,0.078510724,0.051396196,0.08174828,0.05180089,0.084581141,0.043302307,SOLAN,0.272359369,0.114528531,0.072440308,0.055847835,0.009712667,0.006879806,0.017401862,0.057466613,0.012140834,0.667745852,0.187778227,0.473087819,0.246458924,0.018211251,0.006475111,0.057061918,0.080534197,0.909348442,0.149332254,0.233913395,0.006070417,0.066369891,0.023876973,0.696074464,33.53460138,0.054229057,0.924237023,0.217725617,0.280048563,0.304734925,0.044921085,0.038850668,0.13354917,0.046539862,0.390125455,0.008093889,0.584378794,0.076487252
